DateTime,AGG,DBC,SPY
20161130,86.52448273,13.29189301,191.3252869
20161231,86.54393005,13.84244347,194.0599976
20170131,87.09336853,13.76379395,198.6969604
20170228,87.47947693,13.73757744,206.5040436
20170331,87.43021393,13.29189301,205.8666077
20170430,88.22111511,12.93359661,208.8145752
20170531,88.8147049,12.75008011,211.7615051
20170630,88.8066864,12.62773418,212.0772705
20170731,89.10694885,13.14333057,217.491806
20170831,89.94187927,13.19576454,218.1263733
20170930,89.42913818,13.45793056,221.4226379
20171031,89.51760864,13.99100494,227.7650146
20171130,89.38387299,14.12208939,234.7268829
20171231,89.77571869,14.51534176,236.365448
20180131,88.98352814,14.94354916,250.9631042
20180228,87.88870239,14.50660229,241.8379211
20180331,88.48192596,14.83868122,234.270813
20180430,87.64354706,15.34553814,236.4246521
20180531,88.22379303,15.75626659,242.171936
20180630,88.30773926,15.45040512,242.4758453
20180731,88.29826355,15.07462978,252.5878143
20180831,88.78090668,15.18823528,260.6504822
20180930,88.24719238,15.70383167,261.0184631
20181031,87.66052246,14.82120132,244.0809631
20181130,88.11399841,13.36180401,248.6085663
20181231,89.90763092,12.66268921,225.4026184
20190131,91.12519836,13.73896408,244.8713074
20190228,90.79453278,14.12847042,252.809021
20190331,92.72173309,14.07535458,256.2562256
20190430,92.54447174,14.24355221,267.8996887
20190531,94.31356812,13.39371872,250.8154602
20190630,95.35346985,13.92486382,266.9703674
20190731,95.5356369,13.76552105,272.3248596
20190831,98.18696594,13.12814617,267.7652893
20190930,97.58907318,13.31404591,271.7206116
20191031,97.79718018,13.5707674,279.0094604
20191130,97.76683044,13.55306339,289.1091309
20191231,97.55879211,14.11961746,296.0536804
20200131,99.92557526,13.11359215,297.3891602
20200229,101.293869,12.24115086,273.8461609
20200331,100.766655,10.11851311,238.2496185
20200430,102.4884109,9.803713799,270.0822449
20200531,103.1925278,10.59520721,282.95047
20200630,103.8930511,11.07190132,286.7066956
20200731,105.2710419,11.63853741,304.9274597
20200831,104.4202576,12.17819214,326.2103882
20200930,104.3274231,11.7464695,312.7440186
20201031,103.7383499,11.37770557,306.1669006
20201130,104.9978638,12.53796101,339.4707642
20201231,104.9659042,13.22152328,350.5532532
20210131,104.4766083,13.66224003,348.4600525
20210228,102.7221298,15.04735184,358.1491089
20210331,101.5434875,14.93942261,373.186554
20210430,102.3007813,16.1086731,394.2189941
20210531,102.509285,16.72927475,396.8074646
20210630,103.3634949,17.31389809,404.3839722
20210731,104.5286255,17.53875351,415.6112061
20210831,104.3107071,17.25094032,427.9797058
20210930,103.3534317,18.15036201,406.7305603
20211031,103.3311005,19.20268822,436.6625671
20211130,103.6106949,17.5207653,433.1540527
20211231,103.1497345,18.6900177,451.5999146
20220131,101.3348007,20.16507339,429.2848206
20220228,100.0295715,21.46923637,416.6136475
20220331,97.21474457,23.43897247,430.9355469
20220430,93.51156616,24.76112556,394.3340149
20220531,94.19772339,25.90339088,395.2241211
20220630,92.7312851,23.96063614,361.0740662
20220731,95.08187103,23.48394394,396.0278015
20220831,92.18070221,23.13316917,379.8690796
20220930,88.35058594,21.50521088,343.3414001
20221031,87.20664215,22.5935154,372.771637
20221130,90.52006531,22.92630196,393.4945679
20221231,89.52661133,22.1707859,369.1231384
20230131,92.9319458,22.50371933,394.1380005
20230228,90.23355103,21.49933052,384.228302
20230331,92.62054443,21.4812336,396.9596252
20230430,93.14198303,21.31835938,404.84021
20230531,92.07966614,19.95203018,406.7090454
20230630,91.72896576,20.54018593,431.460968
20230731,91.71620178,22.33179665,447.2392883
20230831,91.12716675,22.25035858,439.9707642
20230930,88.76972961,22.58515358,417.6278687
20231031,87.37135315,22.17797089,410.0028992
20231130,91.35971832,21.63505745,447.4541321
20231231,94.48098755,19.94298172,465.9934692
20240131,94.87937927,21.19828987,475.3344727
20240229,93.20391846,20.87552071,500.1407166
20240331,94.04685974,21.80585289,514.8964844
20240430,91.71401978,22.15710068,495.6713562
20240531,93.23245239,22.09064865,520.7422485
20240630,94.05508423,22.05267525,537.3804321
20240731,96.33313751,21.43561935,545.6422729
20240831,97.74428558,20.98943901,558.3915405
20240930,99.04258728,21.14133072,568.3770142
20241031,96.25527191,21.44511223,565.0328369
20241130,97.31312561,21.01791763,598.7276611
20241231,95.35722351,20.29643631,582.3622437
20250131,96.46268463,21.96999931,600.0150146
20250228,98.2948761,22,592.3979492
20250331,98.2930069,22.5,557.7122803
